time,data,src
34594337916.78088,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=17|eta=15,pHelmIvP:365:waypt_survey
34594337916.96904,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=17|eta=14,pHelmIvP:366:waypt_survey
34594337917.532585,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=16|eta=14,pHelmIvP:369:waypt_survey
34594337917.94587,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=16|eta=13,pHelmIvP:371:waypt_survey
34594337918.53125,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=15|eta=13,pHelmIvP:374:waypt_survey
34594337918.710495,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=15|eta=12,pHelmIvP:375:waypt_survey
34594337919.30381,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=14|eta=12,pHelmIvP:378:waypt_survey
34594337919.735344,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=14|eta=11,pHelmIvP:380:waypt_survey
34594337920.32708,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=13|eta=10,pHelmIvP:383:waypt_survey
34594337920.72944,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=12|eta=10,pHelmIvP:385:waypt_survey
34594337921.32174,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=12|eta=9,pHelmIvP:388:waypt_survey
34594337921.683105,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=11|eta=9,pHelmIvP:390:waypt_survey
34594337922.2924,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=11|eta=8,pHelmIvP:393:waypt_survey
34594337922.67,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=10|eta=8,pHelmIvP:395:waypt_survey
34594337923.218376,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=9|eta=7,pHelmIvP:398:waypt_survey
34594337924.190155,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=8|eta=6,pHelmIvP:403:waypt_survey
