time,NAME,X,Y,SPD,HDG,TYPE,MODE,ALLSTOP,TIME,LENGTH,src
34594337934.43782,henry,76.75,-12.71,1.04,346.17,kayak,MODE@ACTIVE:TRAVERSING,clear,134,34594337934.44,4,pNodeReporter
34594337934.73774,henry,76.61,-12.21,1.08,342.69,kayak,MODE@ACTIVE:TRAVERSING,clear,135,34594337934.74,4,pNodeReporter
34594337935.311745,henry,76.43,-11.69,1.11,339.3,kayak,MODE@ACTIVE:TRAVERSING,clear,136,34594337935.31,4,pNodeReporter
34594337935.88205,henry,76.22,-11.16,1.14,335.95,kayak,MODE@ACTIVE:TRAVERSING,clear,137,34594337935.88,4,pNodeReporter
34594337936.465004,henry,75.83,-10.38,1.2,331.72,kayak,MODE@ACTIVE:TRAVERSING,clear,138,34594337936.46,4,pNodeReporter
34594337937.05613,henry,75.54,-9.87,1.22,329.08,kayak,MODE@ACTIVE:TRAVERSING,clear,139,34594337937.05,4,pNodeReporter
34594337937.66861,henry,75.04,-9.09,1.27,325.8,kayak,MODE@ACTIVE:TRAVERSING,clear,140,34594337937.67,4,pNodeReporter
34594337938.55513,henry,74.51,-8.34,1.3,323.22,kayak,MODE@ACTIVE:TRAVERSING,clear,141,34594337938.55,4,pNodeReporter
34594337939.18248,henry,73.89,-7.55,1.31,321.01,kayak,MODE@ACTIVE:TRAVERSING,clear,142,34594337939.18,4,pNodeReporter
34594337940.33304,henry,72.85,-6.32,1.33,318.62,kayak,MODE@ACTIVE:TRAVERSING,clear,143,34594337940.33,4,pNodeReporter
34594337941.79342,henry,71.76,-5.12,1.33,317.19,kayak,MODE@ACTIVE:TRAVERSING,clear,144,34594337941.79,4,pNodeReporter
34594337943.58522,henry,69.83,-3.06,1.31,316.82,kayak,MODE@ACTIVE:TRAVERSING,clear,145,34594337943.58,4,pNodeReporter
34594337943.89148,henry,69.83,-3.06,1.31,316.82,kayak,MODE@ACTIVE:TRAVERSING,clear,146,34594337943.89,4,pNodeReporter
34594337944.18409,henry,69.4,-2.6,1.29,317.04,kayak,MODE@ACTIVE:TRAVERSING,clear,147,34594337944.18,4,pNodeReporter
34594337945.65672,henry,68.32,-1.42,1.27,317.79,kayak,MODE@ACTIVE:TRAVERSING,clear,148,34594337945.66,4,pNodeReporter
34594337945.92846,henry,67.92,-0.97,1.24,318.29,kayak,MODE@ACTIVE:TRAVERSING,clear,149,34594337945.93,4,pNodeReporter
34594337946.19426,henry,67.92,-0.97,1.24,318.29,kayak,MODE@ACTIVE:TRAVERSING,clear,150,34594337946.19,4,pNodeReporter
34594337947.41188,henry,66.74,0.39,1.22,320.22,kayak,MODE@ACTIVE:TRAVERSING,clear,151,34594337947.41,4,pNodeReporter
34594337950.39183,henry,64.5,3.2,1.24,322.29,kayak,MODE@ACTIVE:TRAVERSING,clear,152,34594337950.39,4,pNodeReporter
34594337953.60709,henry,62.15,6.35,1.23,323.94,kayak,MODE@ACTIVE:TRAVERSING,clear,153,34594337953.61,4,pNodeReporter
34594337956.91602,henry,59.9,9.54,1.21,325.58,kayak,MODE@ACTIVE:TRAVERSING,clear,154,34594337956.92,4,pNodeReporter
34594337957.19614,henry,59.56,10,1.15,320.1,kayak,MODE@ACTIVE:TRAVERSING,clear,155,34594337957.2,4,pNodeReporter
34594337957.46644,henry,59.38,10.21,1.09,314.4,kayak,MODE@ACTIVE:TRAVERSING,clear,156,34594337957.47,4,pNodeReporter
34594337957.77478,henry,59.2,10.37,1.03,309.75,kayak,MODE@ACTIVE:TRAVERSING,clear,157,34594337957.77,4,pNodeReporter
34594337958.06746,henry,59.01,10.52,0.97,305.7,kayak,MODE@ACTIVE:TRAVERSING,clear,158,34594337958.07,4,pNodeReporter
34594337958.38139,henry,58.63,10.75,0.84,299.61,kayak,MODE@ACTIVE:TRAVERSING,clear,159,34594337958.38,4,pNodeReporter
34594337958.96268,henry,58.29,10.93,0.86,296.08,kayak,MODE@ACTIVE:TRAVERSING,clear,160,34594337958.96,4,pNodeReporter
34594337959.53825,henry,57.92,11.1,0.86,292.34,kayak,MODE@ACTIVE:TRAVERSING,clear,161,34594337959.54,4,pNodeReporter
34594337959.79675,henry,57.5,11.25,0.9,288.26,kayak,MODE@ACTIVE:TRAVERSING,clear,162,34594337959.8,4,pNodeReporter
34594337960.098885,henry,57.5,11.25,0.9,288.26,kayak,MODE@ACTIVE:TRAVERSING,clear,163,34594337960.1,4,pNodeReporter
34594337960.396614,henry,57.06,11.38,0.93,284.09,kayak,MODE@ACTIVE:TRAVERSING,clear,164,34594337960.4,4,pNodeReporter
34594337960.70962,henry,56.83,11.44,0.94,282.08,kayak,MODE@ACTIVE:TRAVERSING,clear,165,34594337960.71,4,pNodeReporter
34594337961.231445,henry,56.38,11.51,0.96,278.03,kayak,MODE@ACTIVE:TRAVERSING,clear,166,34594337961.23,4,pNodeReporter
34594337961.52631,henry,56.14,11.54,0.98,275.93,kayak,MODE@ACTIVE:TRAVERSING,clear,167,34594337961.53,4,pNodeReporter
34594337961.821815,henry,55.89,11.57,1,273.9,kayak,MODE@ACTIVE:TRAVERSING,clear,168,34594337961.82,4,pNodeReporter
34594337962.12732,henry,55.38,11.58,1.04,269.68,kayak,MODE@ACTIVE:TRAVERSING,clear,169,34594337962.13,4,pNodeReporter
34594337962.692444,henry,54.85,11.56,1.09,265.94,kayak,MODE@ACTIVE:TRAVERSING,clear,170,34594337962.69,4,pNodeReporter
34594337963.28627,henry,54.02,11.46,1.15,260.6,kayak,MODE@ACTIVE:TRAVERSING,clear,171,34594337963.29,4,pNodeReporter
34594337963.869385,henry,53.44,11.35,1.19,257.13,kayak,MODE@ACTIVE:TRAVERSING,clear,172,34594337963.87,4,pNodeReporter
34594337964.48407,henry,52.89,11.21,1.22,254.21,kayak,MODE@ACTIVE:TRAVERSING,clear,173,34594337964.48,4,pNodeReporter
34594337964.80645,henry,52.3,11.03,1.25,251.46,kayak,MODE@ACTIVE:TRAVERSING,clear,174,34594337964.8,4,pNodeReporter
34594337965.39124,henry,51.76,10.83,1.27,249.08,kayak,MODE@ACTIVE:TRAVERSING,clear,175,34594337965.39,4,pNodeReporter
34594337965.98262,henry,50.86,10.46,1.31,245.8,kayak,MODE@ACTIVE:TRAVERSING,clear,176,34594337965.98,4,pNodeReporter
34594337966.88237,henry,50,10.05,1.32,243.3,kayak,MODE@ACTIVE:TRAVERSING,clear,177,34594337966.88,4,pNodeReporter
34594337967.77026,henry,48.87,9.45,1.34,240.78,kayak,MODE@ACTIVE:TRAVERSING,clear,178,34594337967.77,4,pNodeReporter
34594337969.456314,henry,46.85,8.25,1.35,238.42,kayak,MODE@ACTIVE:TRAVERSING,clear,179,34594337969.46,4,pNodeReporter
34594337972.35498,henry,43.74,6.32,1.31,238.44,kayak,MODE@ACTIVE:TRAVERSING,clear,180,34594337972.35,4,pNodeReporter
34594337974.72786,henry,41.12,4.77,1.23,240.7,kayak,MODE@ACTIVE:TRAVERSING,clear,181,34594337974.73,4,pNodeReporter
34594337974.98119,henry,40.58,4.47,1.23,241.42,kayak,MODE@ACTIVE:TRAVERSING,clear,182,34594337974.98,4,pNodeReporter
34594337975.29385,henry,40.58,4.47,1.23,241.42,kayak,MODE@ACTIVE:TRAVERSING,clear,183,34594337975.29,4,pNodeReporter
34594337975.55642,henry,40.03,4.18,1.23,242.13,kayak,MODE@ACTIVE:TRAVERSING,clear,184,34594337975.56,4,pNodeReporter
34594337975.8686,henry,40.03,4.18,1.23,242.13,kayak,MODE@ACTIVE:TRAVERSING,clear,185,34594337975.87,4,pNodeReporter
34594337977.29459,henry,38.15,3.23,1.24,243.98,kayak,MODE@ACTIVE:TRAVERSING,clear,186,34594337977.29,4,pNodeReporter
34594337977.57832,henry,38.15,3.23,1.24,243.98,kayak,MODE@ACTIVE:TRAVERSING,clear,187,34594337977.58,4,pNodeReporter
34594337978.45998,henry,36.84,2.6,1.23,245.13,kayak,MODE@ACTIVE:TRAVERSING,clear,188,34594337978.46,4,pNodeReporter
34594337981.17395,henry,34.1,1.37,1.23,246.5,kayak,MODE@ACTIVE:TRAVERSING,clear,189,34594337981.17,4,pNodeReporter
34594337981.442276,henry,33.57,1.14,1.23,246.69,kayak,MODE@ACTIVE:TRAVERSING,clear,190,34594337981.44,4,pNodeReporter
