time,data,src
34594337996.65416,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=216,uFldShoreBroker
34594337997.74478,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=217,uFldShoreBroker
34594337998.83362,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=218,uFldShoreBroker
34594337999.933975,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=219,uFldShoreBroker
34594338000.984856,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=220,uFldShoreBroker
34594338002.06034,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=221,uFldShoreBroker
34594338008.44346,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=227,uFldShoreBroker
34594338009.52442,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=228,uFldShoreBroker
34594338010.60344,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=229,uFldShoreBroker
34594338011.70455,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=230,uFldShoreBroker
34594338012.80516,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=231,uFldShoreBroker
34594338013.90666,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=232,uFldShoreBroker
34594338014.931076,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=233,uFldShoreBroker
34594338015.9769,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=234,uFldShoreBroker
34594338016.9969,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=235,uFldShoreBroker
